target_lines,plate_id
U22-916076,E-2_Mips22.Master23_E-2_Mips22.Master23
U22-916077,E-2_Mips22.Master2_E-2_Mips22.Master2
U22-916081,A-5_Mips22.Master20_A-5_Mips22.Master20
U22-916082,G-2_Mips22.Master17_G-2_Mips22.Master17
U22-916083,C-9_Mips22.Master18_C-9_Mips22.Master18
U22-916085,G-5_Mips22.Master19_G-5_Mips22.Master19
U22-916086,B-9_Mips22.Master22_B-9_Mips22.Master22
U22-916089,F-10_Mips22.Master22_F-10_Mips22.Master22
U22-916090,C-8_Mips22.Master17_C-8_Mips22.Master17
U22-916091,A-3_Mips22.Master18_A-3_Mips22.Master18
U22-916092,A-2_Mips22.Master19_A-2_Mips22.Master19
U22-917002,F-9_Mips22.Master7_F-9_Mips22.Master7
U22-917005,G-12_Mips22.Master17_G-12_Mips22.Master17
U22-917010,A-12_Mips22.Master9_A-12_Mips22.Master9
U22-917011,B-3_Mips22.Master9_B-3_Mips22.Master9
U22-917012,F-7_Mips22.Master17_F-7_Mips22.Master17
U22-917013,H-10_Mips22.Master18_H-10_Mips22.Master18
U22-917015,D-8_Mips22.Master20_D-8_Mips22.Master20
U22-917016,A-8_Mips22.Master19_A-8_Mips22.Master19
U22-917017,B-2_Mips22.Master23_B-2_Mips22.Master23
U22-917018,A-12_Mips22.Master22_A-12_Mips22.Master22
U22-917021,H-3_Mips22.Master19_H-3_Mips22.Master19
U22-917022,H-1_Mips22.Master9_H-1_Mips22.Master9
U22-917024,E-2_Mips22.Master20_E-2_Mips22.Master20
U22-917026,F-11_Mips22.Master19_F-11_Mips22.Master19
U22-917027,F-11_Mips22.Master8_F-11_Mips22.Master8
U22-917028,H-12_Mips22.Master22_H-12_Mips22.Master22
U22-917029,C-8_Mips22.Master22_C-8_Mips22.Master22
U22-917030,C-10_Mips22.Master8_C-10_Mips22.Master8
U22-917032,D-10_Mips22.Master6_D-10_Mips22.Master6
U22-917033,A-7_Mips22.Master22_A-7_Mips22.Master22
U22-917034,E-12_Mips22.Master23_E-12_Mips22.Master23
U22-917035,E-7_Mips22.Master17_E-7_Mips22.Master17
U22-917037,F-6_Mips22.Master20_F-6_Mips22.Master20
U22-917038,H-11_Mips22.Master7_H-11_Mips22.Master7
U22-917041,E-5_Mips22.Master20_E-5_Mips22.Master20
U22-917044,F-1_Mips22.Master19_F-1_Mips22.Master19
U22-917046,C-5_Mips22.Master11_C-5_Mips22.Master11
U22-917049,G-12_Mips22.Master21_G-12_Mips22.Master21
U22-917050,E-7_Mips22.Master20_E-7_Mips22.Master20
U22-917051,B-12_Mips22.Master7_B-12_Mips22.Master7
U22-917052,D-5_Mips22.Master18_D-5_Mips22.Master18
U22-917054,H-9_Mips22.Master10_H-9_Mips22.Master10
U22-917055,F-9_Mips22.Master8_F-9_Mips22.Master8
U22-917062,G-6_Mips22.Master10_G-6_Mips22.Master10
U22-917063,G-7_Mips22.Master7_G-7_Mips22.Master7
U22-917064,E-2_Mips22.Master17_E-2_Mips22.Master17
U22-917066,G-1_Mips22.Master19_G-1_Mips22.Master19
U22-917068,C-3_Mips22.Master9_C-3_Mips22.Master9
U22-917070,G-4_Mips22.Master22_G-4_Mips22.Master22
U22-917074,F-4_Mips22.Master18_F-4_Mips22.Master18
U22-917075,E-1_Mips22.Master11_E-1_Mips22.Master11
U22-917076,D-2_Mips22.Master9_D-2_Mips22.Master9
U22-917077,H-6_Mips22.Master22_H-6_Mips22.Master22
U22-917080,C-6_Mips22.Master8_C-6_Mips22.Master8
U22-917081,A-3_Mips22.Master23_A-3_Mips22.Master23
U22-917082,G-4_Mips22.Master7_G-4_Mips22.Master7
U22-917083,C-9_Mips22.Master21_C-9_Mips22.Master21
U22-917084,E-10_Mips22.Master6_E-10_Mips22.Master6
U22-917085,A-9_Mips22.Master19_A-9_Mips22.Master19
U22-917087,C-4_Mips22.Master19_C-4_Mips22.Master19
U22-917089,B-7_Mips22.Master38_B-7_Mips22.Master38
U22-917090,D-9_Mips22.Master2_D-9_Mips22.Master2
U22-917091,F-5_Mips22.Master11_F-5_Mips22.Master11
U22-917092,C-11_Mips22.Master16_C-11_Mips22.Master16
U22-918002,E-4_Mips22.Master20_E-4_Mips22.Master20
U22-918003,D-3_Mips22.Master19_D-3_Mips22.Master19
U22-918005,C-6_Mips22.Master17_C-6_Mips22.Master17
U22-918007,C-9_Mips22.Master9_C-9_Mips22.Master9
U22-918008,B-11_Mips22.Master19_B-11_Mips22.Master19
U22-918010,B-7_Mips22.Master23_B-7_Mips22.Master23
U22-918011,H-12_Mips22.Master23_H-12_Mips22.Master23
U22-918012,B-10_Mips22.Master19_B-10_Mips22.Master19
U22-918013,E-6_Mips22.Master23_E-6_Mips22.Master23
U22-918014,C-3_Mips22.Master19_C-3_Mips22.Master19
U22-918015,D-3_Mips22.Master16_D-3_Mips22.Master16
U22-918016,G-5_Mips22.Master20_G-5_Mips22.Master20
U22-918017,G-7_Mips22.Master8_G-7_Mips22.Master8
U22-918018,A-4_Mips22.Master11_A-4_Mips22.Master11
U22-918019,A-2_Mips22.Master23_A-2_Mips22.Master23
U22-918020,B-3_Mips22.Master18_B-3_Mips22.Master18
U22-918021,C-1_Mips22.Master22_C-1_Mips22.Master22
U22-918022,G-6_Mips22.Master23_G-6_Mips22.Master23
U22-918023,A-6_Mips22.Master11_A-6_Mips22.Master11
U22-918024,D-8_Mips22.Master6_D-8_Mips22.Master6
U22-918025,H-3_Mips22.Master2_H-3_Mips22.Master2
U22-918026,C-10_Mips22.Master19_C-10_Mips22.Master19
U22-918027,H-8_Mips22.Master9_H-8_Mips22.Master9
U22-918028,G-3_Mips22.Master11_G-3_Mips22.Master11
U22-918029,C-4_Mips22.Master9_C-4_Mips22.Master9
U22-918030,F-8_Mips22.Master11_F-8_Mips22.Master11
U22-918031,F-10_Mips22.Master18_F-10_Mips22.Master18
U22-918032,G-2_Mips22.Master20_G-2_Mips22.Master20
U22-918037,C-8_Mips22.Master10_C-8_Mips22.Master10
U22-918038,D-11_Mips22.Master20_D-11_Mips22.Master20
U22-918039,D-9_Mips22.Master7_D-9_Mips22.Master7
U22-918040,B-5_Mips22.Master7_B-5_Mips22.Master7
U22-918041,C-2_Mips22.Master10_C-2_Mips22.Master10
U22-918042,D-12_Mips22.Master9_D-12_Mips22.Master9
U22-918043,F-9_Mips22.Master10_F-9_Mips22.Master10
U22-918046,H-9_Mips22.Master16_H-9_Mips22.Master16
U22-918050,B-5_Mips22.Master19_B-5_Mips22.Master19
U22-918051,D-3_Mips22.Master8_D-3_Mips22.Master8
U22-918052,C-5_Mips22.Master20_C-5_Mips22.Master20
U22-918053,H-10_Mips22.Master16_H-10_Mips22.Master16
U22-918055,A-6_Mips22.Master38_A-6_Mips22.Master38
U22-918056,G-11_Mips22.Master22_G-11_Mips22.Master22
U22-918058,B-1_Mips22.Master10_B-1_Mips22.Master10
U22-918059,E-12_Mips22.Master10_E-12_Mips22.Master10
U22-918068,A-12_Mips22.Master19_A-12_Mips22.Master19
U22-918074,G-1_Mips22.Master11_G-1_Mips22.Master11
U22-918077,G-12_Mips22.Master11_G-12_Mips22.Master11
U22-918078,D-7_Mips22.Master16_D-7_Mips22.Master16
U22-918079,H-9_Mips22.Master38_H-9_Mips22.Master38
U22-918080,H-12_Mips22.Master19_H-12_Mips22.Master19
U22-918082,D-9_Mips22.Master22_D-9_Mips22.Master22
U22-918083,E-7_Mips22.Master22_E-7_Mips22.Master22
U22-918087,D-7_Mips22.Master21_D-7_Mips22.Master21
U22-918088,C-6_Mips22.Master10_C-6_Mips22.Master10
U22-918089,C-12_Mips22.Master21_C-12_Mips22.Master21
U22-918090,F-12_Mips22.Master22_F-12_Mips22.Master22
U22-918091,A-3_Mips22.Master21_A-3_Mips22.Master21
U22-918092,B-2_Mips22.Master38_B-2_Mips22.Master38
U22-919003,C-10_Mips22.Master16_C-10_Mips22.Master16
U22-919005,C-5_Mips22.Master38_C-5_Mips22.Master38
U22-919008,F-9_Mips22.Master18_F-9_Mips22.Master18
U22-919009,E-1_Mips22.Master9_E-1_Mips22.Master9
U22-919010,H-10_Mips22.Master38_H-10_Mips22.Master38
U22-919012,D-12_Mips22.Master23_D-12_Mips22.Master23
U22-919014,B-1_Mips22.Master7_B-1_Mips22.Master7
U22-919015,F-5_Mips22.Master23_F-5_Mips22.Master23
U22-919016,A-12_Mips22.Master17_A-12_Mips22.Master17
U22-919017,D-4_Mips22.Master16_D-4_Mips22.Master16
U22-919018,C-9_Mips22.Master20_C-9_Mips22.Master20
U22-919019,A-8_Mips22.Master11_A-8_Mips22.Master11
U22-919022,C-1_Mips22.Master21_C-1_Mips22.Master21
U22-919025,H-7_Mips22.Master17_H-7_Mips22.Master17
U22-919026,H-8_Mips22.Master21_H-8_Mips22.Master21
U22-919031,G-2_Mips22.Master18_G-2_Mips22.Master18
U22-919032,E-4_Mips22.Master8_E-4_Mips22.Master8
U22-919033,A-5_Mips22.Master21_A-5_Mips22.Master21
U22-919037,B-8_Mips22.Master9_B-8_Mips22.Master9
U22-919039,A-12_Mips22.Master21_A-12_Mips22.Master21
U22-919040,B-9_Mips22.Master20_B-9_Mips22.Master20
U22-919042,F-5_Mips22.Master7_F-5_Mips22.Master7
U22-919043,D-6_Mips22.Master7_D-6_Mips22.Master7
U22-919045,D-4_Mips22.Master8_D-4_Mips22.Master8
U22-919047,C-4_Mips22.Master20_C-4_Mips22.Master20
U22-919048,G-5_Mips22.Master8_G-5_Mips22.Master8
U22-919049,H-9_Mips22.Master11_H-9_Mips22.Master11
